Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:50:33,2023-11-01 14:50:36,2.891s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:50:36,2023-11-01 14:50:39,3.113s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Start free trial""))",Chrome 118.0.0.0,,,2023-11-01 14:50:39,2023-11-01 14:50:44,5.215s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Sign up  Katalon Software Quality Mana_03d398/div_Sign in""))",Chrome 118.0.0.0,,,2023-11-01 14:50:44,2023-11-01 14:50:46,1.805s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Sign in  Katalon Software Quality Mana_cfddb7/div_Sign up""))",Chrome 118.0.0.0,,,2023-11-01 14:50:46,2023-11-01 14:50:48,2.108s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Katalon/Page_Sign up  Katalon Software Quality Mana_03d398/input_btn_text""), 0)",Chrome 118.0.0.0,,,2023-11-01 14:50:48,2023-11-01 14:50:49,0.931s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:50:49,2023-11-01 14:50:49,0.373s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:50:49,2023-11-01 14:50:49,0.001s,PASSED
,,,,,,,
Test Cases/Katalon - Verify the error message on the SignUp Page,Chrome 118.0.0.0,,,2023-11-01 14:50:49,2023-11-01 14:51:03,13.454s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:50:49,2023-11-01 14:50:49,0.001s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:50:49,2023-11-01 14:50:52,2.954s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:50:52,2023-11-01 14:50:56,3.127s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:50:56,2023-11-01 14:50:56,0.247s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/button_Accept All Cookies""))",Chrome 118.0.0.0,,,2023-11-01 14:50:56,2023-11-01 14:50:57,1.711s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Katalon AI-augmented Software Quality _596167/a_Start free trial""))",Chrome 118.0.0.0,,,2023-11-01 14:50:57,2023-11-01 14:51:01,3.374s,PASSED
"click(findTestObject(""Object Repository/Katalon/Page_Sign up  Katalon Software Quality Mana_03d398/divbtn-sign-up""))",Chrome 118.0.0.0,,,2023-11-01 14:51:01,2023-11-01 14:51:02,1.030s,PASSED
"verifyElementText(findTestObject(""Object Repository/Katalon/Page_Sign up  Katalon Software Quality Mana_03d398/span_Please fill all form fields""), ""Please fill all form fields"")",Chrome 118.0.0.0,,,2023-11-01 14:51:02,2023-11-01 14:51:02,0.503s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 14:51:02,2023-11-01 14:51:03,0.384s,PASSED
Start listener action : sampleAfterTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:03,2023-11-01 14:51:03,0.001s,PASSED
,,,,,,,
Test Cases/Katalon - Video verification,Chrome 118.0.0.0,,,2023-11-01 14:51:03,2023-11-01 14:51:16,13.429s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 118.0.0.0,,,2023-11-01 14:51:03,2023-11-01 14:51:03,0.002s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 14:51:03,2023-11-01 14:51:06,2.930s,PASSED
"navigateToUrl(""https://katalon.com/"")",Chrome 118.0.0.0,,,2023-11-01 14:51:06,2023-11-01 14:51:09,3.051s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 14:51:09,2023-11-01 14:51:09,0.204s,PASSED
